RefDes,Name,Pattern,X (mm),Y (mm),Side,Rotate,Value
C1,,CAPAE-10.3x10.3h16.5,15.5,38,Top,180,330uF 50V
C2,,CAPAE-10.3x10.3h16.5,34.87,38.1,Top,180,330uF 50V
C3,,CAPAE-10.3x10.3h16.5,56.46,38.1,Top,180,330uF 50V
C4,CAP_NP_1206,CAP_1206,51.305,76.518,Top,180,10uF
C5,,CAPAE-10.3x10.3h16.5,78.05,38.1,Top,180,330uF 50V
C9,CAP_NP_1206,CAP_0805,93.025,71.323,Top,0,100nF
C10,CAP_NP_1206,CAP_1206,96.19,69.745,Top,270,10uF
C11,CAP_NP_1206,CAP_1206,95.346,78.464,Top,90,22uF 6.3V
C12,CAP_NP_1206,CAP_0805,85.664,66.853,Top,180,150pF
D1,10BQ100,b340a-13-f,10.795,78.74,Top,0,
D2,10BQ100,b340a-13-f,92.075,74.295,Top,0,
D3,10BQ100,b340a-13-f,98.012,37.783,Top,180,
J2,HDR-2x2,HDR-2x2,53.34,81.28,Top,90,
J3,HDR-2x2,HDR-2x2,72.072,71.755,Top,90,
J6,HDR-1x19,HDR-1x19,24.13,49.53,Top,0,
J7,HDR-2x6,HDR-2x6,35.56,81.28,Top,180,
J8,Header, Male 1.3 0.1 ,HDR-1x3T/2.54/7x2,64.77,80.01,Top,0,
JP1,HDR-1x2,HDR-1x2,41.91,64.77,Top,270,
JP2,HDR-1x2,HDR-1x2,39.37,64.77,Top,270,
JP3,HDR-1x2,HDR-1x2,36.83,64.77,Top,270,
JP4,HDR-1x2,HDR-1x2,34.29,64.77,Top,270,
JP5,HDR-1x2,HDR-1x2,95.25,45.085,Top,180,
JP6,HDR-1x2,HDR-1x2,66.04,20.32,Top,90,
K1,JS-M1-9V-5,JS-M,98,22.9,Top,0,Relay 5V SPDT
L1,IND_1210,Inductor 06030,86.298,72.143,Top,90,4.7uH
Q1,MMBT9014 ,TO-236,96.205,41.227,Top,180,
R1,RES_0805,RES_0805,53.499,67.947,Top,270,10k
R2,RES_0805,RES_0805,41.91,70.8,Top,90,10k
R3,RES_0805,RES_0805,39.37,70.8,Top,90,10k
R4,RES_0805,RES_0805,36.83,70.8,Top,90,10k
R5,RES_0805,RES_0805,34.29,70.8,Top,90,10k
R6,RES_0805,RES_0805,100.645,45.085,Top,0,1K
R13,RES_0805,RES_0805,88.595,63.18,Top,90,210k
R14,RES_0805,RES_0805,85.583,62.23,Top,0,40.2k
R15,RES_0805,RES_0805,96.19,65.491,Top,90,100k
R16,RES_0805,RES_0805,85.664,64.541,Top,180,100k
SD1,TF-01A,TF-01A,14.62,70.86,Top,0,
TB1,TB_5mm_2POS,TB_5mm_2POS,109.538,51.117,Top,90,
TB2,TB_5mm_2POS,TB_5mm_2POS,95.885,4.445,Top,0,
TB3,TB_5mm_4POS,TB_5mm_4POS,5.715,4.445,Top,0,
TB4,TB_5mm_4POS,TB_5mm_4POS,27.305,4.445,Top,0,
TB5,TB_5mm_4POS,TB_5mm_4POS,48.895,4.445,Top,0,
TB6,TB_5mm_4POS,TB_5mm_4POS,70.485,4.445,Top,0,
U1,ESP32 Dev Module,ESP-32 NodeMCU 32S,1.27,74.93,Top,270,ESP-32
U2,TMC2130_Buildlog,StepStick_Diag,9.525,30.48,Top,0,
U3,TMC2130_Buildlog,StepStick_Diag,29.21,30.48,Top,0,
U4,TMC2130_Buildlog,StepStick_Diag,49.53,30.48,Top,0,
U5,TMC2130_Buildlog,StepStick_Diag,71.12,30.48,Top,0,
U6,MP1584EN,MP1584EN,88.52,69.445,Top,270,MP1584EN
U8,TXS0101DBVR,SOT23-6,57.23,70.17,Top,0,TXS0101DBVR
C6,CAP_NP_1206,CAP_0805,50.482,70.011,Top,270,100nF
C7,CAP_NP_1206,CAP_0805,61.913,68.424,Top,270,100nF
